id,video,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top_of,adj_right_of,adj_top_no,adj_right_no,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,bgsub_mode_of_q1,bgsub_mode_of_q2,bgsub_mode_of_q3,bgsub_mode_of_q4,bgsub_mode_no_q1,bgsub_mode_no_q2,bgsub_mode_no_q3,bgsub_mode_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4,ref,test
20190612_1326_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1326_icab_kaga_R.avi,20190612,1326,R,1957,19357,21120,38520,29,-4,0,1,5,18728,18312,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Bottom,Bottom,Top,Top,Right,Left,icab,kaga
20190612_1355_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1355_icab_ho5_R.avi,20190612,1355,R,2540,20540,22022,40022,30,9,9,8,9,18993,18275,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Bottom,Bottom,Top,Bottom,Right,Right,icab,ho5
20190612_1425_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1425_icab_kaga_R.avi,20190612,1425,R,2521,20209,21353,39353,30,3,8,-6,3,18512,18272,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,30,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Bottom,Right,Top,Right,Right,Bottom,icab,kaga
20190612_1501_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1501_icab_icab_R.avi,20190612,1501,R,2366,20366,21495,39495,30,0,8,-6,6,18734,18169,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15,30,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190612_1534_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1534_icab_hdr_R.avi,20190612,1534,R,2993,20993,21807,39807,30,0,8,-6,1,18543,18240,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,8,15,10,10,10,10,10,10,60,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Bottom,Top,Top,Top,Left,Top,icab,hdr
20190612_1604_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1604_icab_hni_R.avi,20190612,1604,R,2983,20983,27751,45751,30,5,6,-5,4,24354,18247,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Bottom,Top,Bottom,Top,Bottom,Top,icab,hni
20190612_1636_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1636_icab_icab_R.avi,20190612,1636,R,3263,21263,22367,40367,30,5,10,-2,4,18876,18263,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190612_1707_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1707_icab_hni_R.avi,20190612,1707,R,2654,20654,21554,39554,30,0,8,-4,2,18453,18941,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Left,Right,Top,Bottom,Right,Top,icab,hni
20190613_0953_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_0953_icab_hni_R.avi,20190613,953,R,3071,21071,22295,40295,30,-2,8,-2,8,18899,18287,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Top,Right,Left,Bottom,Bottom,Top,icab,hni
20190613_1024_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1024_icab_hni_R.avi,20190613,1024,R,3279,21279,23349,41349,30,9,6,6,5,19901,19194,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Bottom,Bottom,Bottom,Right,Bottom,Top,icab,hni
